iter	Passed	Remaining
145	371	2172
146	372	2160
147	373	2148
148	374	2136
149	375	2125
150	375	2113
151	376	2101
152	377	2089
153	378	2078
154	379	2067
155	379	2055
156	380	2044
157	381	2033
158	382	2021
159	383	2011
160	383	2000
161	384	1989
162	385	1978
163	386	1968
164	387	1958
165	387	1948
166	388	1937
167	389	1927
168	389	1917
169	390	1907
170	391	1897
171	391	1886
172	392	1877
173	393	1867
174	393	1857
175	394	1847
176	395	1838
177	396	1829
178	396	1819
179	397	1810
180	397	1800
181	398	1791
182	399	1782
183	400	1774
184	400	1765
185	401	1757
186	402	1749
187	402	1740
188	403	1731
189	404	1723
190	404	1715
191	405	1707
192	406	1699
193	407	1691
194	407	1683
195	408	1675
196	409	1667
197	409	1659
198	410	1651
199	410	1643
200	411	1636
201	412	1628
202	412	1621
203	413	1613
204	414	1606
205	414	1599
206	415	1592
207	416	1585
208	416	1578
209	417	1571
210	418	1564
211	419	1557
212	419	1551
213	420	1544
214	421	1537
215	421	1531
216	422	1524
217	423	1517
218	423	1511
219	424	1505
220	425	1498
221	425	1492
222	426	1486
223	427	1479
224	427	1474
225	428	1468
226	429	1461
227	429	1455
228	430	1449
229	431	1444
230	432	1438
231	432	1433
232	433	1427
233	434	1422
234	435	1416
235	435	1410
236	436	1404
237	436	1398
238	437	1393
239	438	1387
240	438	1382
241	439	1376
242	440	1371
243	440	1365
244	441	1360
245	442	1355
246	443	1350
247	443	1345
248	444	1340
249	445	1335
250	446	1331
251	446	1326
252	447	1321
253	448	1316
254	449	1311
255	449	1307
256	450	1302
257	451	1297
258	451	1292
259	452	1287
260	453	1283
261	453	1278
262	454	1273
263	455	1268
264	455	1264
265	456	1259
266	457	1255
267	457	1250
268	458	1246
269	459	1242
270	460	1237
271	460	1233
272	461	1228
273	462	1224
274	462	1219
275	463	1215
276	463	1210
277	464	1206
278	465	1202
279	465	1198
280	466	1194
281	467	1189
282	467	1185
283	468	1181
284	469	1177
285	469	1173
286	470	1169
287	471	1165
288	472	1161
289	472	1157
290	473	1153
291	474	1149
292	474	1145
293	475	1141
294	476	1138
295	477	1134
296	477	1131
297	478	1127
298	479	1123
299	480	1120
300	480	1116
301	482	1114
302	482	1110
303	483	1107
304	484	1103
305	485	1100
306	485	1096
307	486	1092
308	487	1089
309	487	1086
310	488	1082
311	489	1079
312	490	1076
313	491	1072
314	491	1069
315	492	1066
316	493	1063
317	494	1059
318	494	1056
319	495	1053
320	496	1049
321	497	1046
322	497	1043
323	498	1040
324	499	1036
325	500	1033
326	500	1030
327	501	1027
328	502	1025
329	504	1024
330	505	1021
331	506	1019
332	507	1016
333	508	1014
334	509	1011
335	510	1009
336	511	1006
337	512	1004
338	514	1002
339	515	1000
340	516	997
341	517	996
342	518	994
343	520	992
344	521	989
345	522	987
346	523	985
347	524	982
348	525	979
349	526	976
350	526	973
351	527	970
352	528	968
353	528	965
354	529	962
355	530	959
356	531	957
357	532	954
358	533	952
359	534	950
360	535	947
361	535	944
362	536	941
363	537	938
364	538	936
365	538	933
366	539	930
367	540	927
368	540	924
369	541	921
370	542	918
371	542	916
372	543	913
373	544	910
374	544	907
375	545	905
376	546	902
377	546	899
378	547	897
379	548	894
380	548	891
381	549	888
382	550	886
383	550	883
384	551	880
385	552	878
386	552	875
387	553	872
388	553	870
389	554	867
390	555	864
391	556	862
392	556	859
393	557	857
394	558	854
395	558	852
396	559	849
397	560	847
398	560	844
399	561	842
400	562	840
401	563	837
402	563	835
403	564	832
404	565	830
405	565	827
406	566	825
407	567	823
408	567	820
409	568	818
410	569	815
411	570	813
412	570	811
413	571	808
414	572	806
415	572	804
416	573	801
417	574	799
418	574	796
419	575	794
420	576	792
421	577	790
422	577	788
423	578	785
424	579	783
425	579	781
426	580	779
427	581	776
428	581	774
429	582	772
430	583	769
431	583	767
432	584	765
433	585	763
434	585	761
435	586	758
436	587	756
437	587	754
438	588	752
439	589	750
440	590	747
441	590	745
442	591	743
443	592	741
444	592	739
445	593	737
446	594	735
447	594	733
448	595	731
449	596	729
450	597	727
451	598	725
452	598	722
453	599	720
454	600	718
455	600	716
456	601	714
457	602	712
458	602	710
459	603	708
460	604	706
461	604	704
462	605	702
463	606	700
464	607	698
465	607	696
466	608	694
467	609	692
468	609	690
469	610	688
470	611	686
471	611	684
472	612	682
473	613	680
